1STICB,04-08-2008,540,544.47,521,536.38,81.3,1550,6645834,12216,5.6
2NDICB,04-08-2008,176,182,176,179.98,20.1,1800,6513759,9930,7.95
3RDICB,04-08-2008,114,118,110.35,113.22,287,4550,5960257,12196,-0.61
4THICB,04-08-2008,112,120,111.2,116.13,212,8300,4807762,6298,-0.45
5THICB,04-08-2008,112.6,114.1,112.5,112.6,200,3900,5209219,14892,-0.44
6THICB,04-08-2008,57.03,58,54.7,57.38,176,36400,4809709,12830,-0.67
7THICB,04-08-2008,78,78.9,70,75.43,61.1,50000,5793731,10244,0.23
8THICB,04-08-2008,48.8,52.8,48.75,51.78,90.2,39500,6437617,12862,-0.43
ABBANK,04-08-2008,40.77,41.58,40.37,40.6,7.6,938327,6760085,10108,4.34
ACI,04-08-2008,289.35,290.51,280.67,282.87,29.1,222998,6779835,2328,8.72
AFTABAUTO,04-08-2008,10.73,10.83,10.48,10.52,67,339011,6184620,2765,-0.84
AGNISYSL,04-08-2008,32.04,32.61,31.45,32.33,90.5,419265,5295068,13886,-0.64
AGRANINS,04-08-2008,16.15,16.39,15.53,15.73,22,249630,5110186,11682,-0.28
AIMS1STMF,04-08-2008,54.8,64.25,52.55,62.7,8.3,2735000,6839257,3228,6.55
ALARABANK,04-08-2008,6.69,6.77,6.57,6.68,16.4,804490,6360586,11573,-0.59
ALLTEX,04-08-2008,7.85,7.9,7.6,7.85,18.8,33500,5942540,2786,-0.58
AMBEEPHA,04-08-2008,125.2,132,120.2,123.3,219,3900,6017081,7807,-0.44
AMCL(PRAN),04-08-2008,96.8,97,93.5,95.8,314.9,17700,4017654,3922,-0.7
ANLIMAYARN,04-08-2008,5.1,5.1,5.1,5.1,250.7,1000,4816591,5535,-0.98
APEXADELFT,04-08-2008,325.6,333.5,318,319.35,27.9,128000,6693211,11667,10.45
APEXFOODS,04-08-2008,97,99.1,93.1,93.47,509.7,14750,6539588,12374,-0.82
APEXSPINN,04-08-2008,55.4,57,54.5,55.7,574.9,17600,5145591,10948,-0.9
APEXTANRY,04-08-2008,90.7,92.9,88,89.57,84.2,82300,6721772,14501,0.06
ARAMIT,04-08-2008,164.73,164.73,159.33,161.2,30.1,46425,4868068,6082,4.36
ARAMITCEM,04-08-2008,7.56,7.81,7.56,7.74,364.3,76230,4937639,7641,-0.98
ASIAPACINS,04-08-2008,11.37,11.37,10.59,10.86,28,358160,4915960,5297,-0.61
ATLASBANG,04-08-2008,156.92,158.57,155.82,157.22,30.8,32312,4623745,12484,4.1
AZIZPIPES,04-08-2008,10.74,10.82,10.62,10.69,175.9,13417,5909821,6110,-0.94
BANGAS,04-08-2008,11.46,11.51,11.46,11.48,22,2238,5380045,2327,-0.48
BANKASIA,04-08-2008,10.25,10.28,10.12,10.2,1097,88765,6317668,4254,-0.99
