CODE,NAME,FACE VALUE,CATEGORY,ELECTRONIC,MARKET LOT,TOTAL SHARE,PE,LOW,MARKET CAP,AUTHORIZED CAP,PAID UP CAP,SECTOR,LISTING YEAR,SPONSOR,GOVT,INSTITUTE,FOREIGN,PUBLIC,LAST AGM,YEAR END,,,RESERVE SURPLUS
1JANATAMF,FIRST JANATA BANK MUTUAL FUND,10,A,Y,500,200000000,7.63,4.9 - 7.9,1200,0,2000,Mutual Funds,2010,25,0,30,0,45,,201306,,,228.67
1STICB,1ST ICB M.F.,10,A,Y,50,750000,14.62,775 - 960,637.5,0,8,Mutual Funds,1980,0,0,0,0,0,n/a,201306,,,122.56
1STPRIMFMF,PRIME FINANCE FIRST MUTUAL FUND,10,A,Y,500,20000000,24.9,10.9 - 31.9,508,0,200,Mutual Funds,2009,20,0,30,0,50,,201012,,,59.62
2NDICB,2ND ICB M.F.,10,A,Y,50,500000,4.05,207 - 372,128.4,0,5,Mutual Funds,1984,0,0,0,0,0,n/a,201306,,,45.74
3RDICB,3RD ICB M.F.,10,A,Y,50,1000000,6.25,127 - 270,190.5,0,10,Mutual Funds,1985,0,0,0,0,0,n/a,201306,,,61.94
4THICB,4TH ICB M.F.,10,A,Y,100,1000000,5.4,122.1 - 242.1,190.1,0,10,Mutual Funds,1986,0,0,0,0,0,n/a,201306,,,67.24
5THICB,5TH ICB M.F.,10,A,Y,100,1500000,9.25,106.1 - 235,239.1,0,15,Mutual Funds,1989,0,0,0,0,0,n/a,201306,,,71.61
6THICB,6TH ICB M.F.,10,A,Y,100,5000000,3.36,43 - 77,262.5,0,50,Mutual Funds,1987,0,0,0,0,0,n/a,201306,,,103.51
7THICB,7TH ICB M.F.,10,A,Y,500,3000000,10.77,66 - 115.9,258,0,30,Mutual Funds,1995,0,0,0,0,0,n/a,201306,,,89.62
8THICB,8TH ICB M.F.,10,A,Y,500,5000000,15.06,47.1 - 82,261,0,50,Mutual Funds,1996,0,0,0,0,0,n/a,201306,,,129.95
AAMRATECH,AAMRA TECHNOLOGIES LIMITED,10,A,Y,250,55369395,26.4,22.9 - 49.4,1987.761,1000,554,IT Sector,2012,30,0,28,0,42,22/12/2013,201306,,,46.26
ABB1STMF,AB BANK 1ST MUTUAL FUND,10,A,Y,500,162615643,11.67,6.4 - 10.6,1122.048,0,1626,Mutual Funds,2012,20,0,46.44,0,33.56,,201306,,,92.36
ABBANK,AB BANK LIMITED,10,A,Y,50,497625376,15.79,21.2 - 33.8,13037.785,6000,4976,Bank,1983,4.55,0.57,0,0,94.88,7/7/2013,201212,,,11246.2
ACI,ACI  LIMITED.,10,A,Y,50,28582082,107.61,122.3 - 195,4901.827,500,286,Pharmaceuticals & Chemicals,1976,34.04,0,37.73,0,28.23,11/6/2013,201212,,,3189.6
ACIFORMULA,ACI FORMULATIONS LIMITED,10,A,Y,100,45000000,37.5,64.7 - 95.9,3550.5,500,450,Pharmaceuticals & Chemicals,2008,66.02,0,22.77,0,11.21,11/6/2013,201212,,,1263.74
ACIZCBOND,ACI 20% CONVERTIBLE ZERO COUPON BONDS,1000,A,Y,2,534340,,791.5 - 915,486.249,0,534,Corporate Bond,2010,0,0,60,0,40,,200912,,,0
ACTIVEFINE,ACTIVE FINE CHEMICALS LIMITED,10,A,Y,500,69000000,16.45,50.5 - 104.4,5678.7,1000,690,Pharmaceuticals & Chemicals,2010,14.78,0,20.8,0,64.42,18/04/2013,201212,,,268.06
AFTABAUTO,AFTAB AUTOMOBILES,10,A,Y,50,95732422,22.46,65 - 138.8,8682.931,1200,957,Engineering,1987,30.5,0,47.49,0,22.01,23/12/2013,201308,,,1981.13
AGNISYSL,AGNI SYSTEMS LTD.,10,A,Y,500,51798982,21.2,19.6 - 27.5,1186.197,1000,518,IT Sector,2003,12.75,0,16.33,0,70.92,24/12/2013,201306,,,19.21
AGRANINS,AGRANI INSURANCE CO. LTD.,10,A,Y,500,24157650,16.18,22.5 - 37.4,649.841,500,242,Insurance,2005,38.65,0,18.3,0,43.05,23/06/2013,201212,,,74.34
AIBL1STIMF,AIBL 1ST ISLAMIC MUTUAL FUND,10,A,Y,500,100000000,4.21,4.7 - 8.5,720,0,1000,Mutual Funds,2011,10,0,40,0,50,,201203,,,-74.57
AIMS1STMF,AIMS 1ST M.F.,10,A,Y,250,41450000,13.48,33.6 - 59.4,1695.305,0,415,Mutual Funds,2000,0,0,0,0,0,n/a,201206,,,1305.81
AL-HAJTEX,AL-HAJ TEXTILE,10,A,Y,50,12691843,22.5,32.5 - 121,925.235,500,127,Textile,1983,24.02,0.03,4.19,0,71.76,28/12/2013,201306,,,40.96
ALARABANK,AL-ARAFAH ISLAMI BANK,10,A,Y,250,834324671,9.12,13.3 - 26.1,15935.601,15000,8343,Bank,1998,37.52,0,16.12,0,46.36,14/05/2013,201212,,,4105.74
